year,subject,winner
1913,Literature,Rabindranath Tagore
1913,Medicine,Charles Richet
1913,Peace,Henri La Fontaine
1913,Physics,Heike Kamerlingh Onnes
1914,Chemistry,Theodore W. Richards
1914,Medicine,Robert Bárány
1914,Physics,Max von Laue
1915,Chemistry,Richard Willstätter
1915,Literature,Romain Rolland
1915,Physics,Lawrence Bragg
1915,Physics,William Bragg
1916,Literature,Verner von Heidenstam
1917,Literature,Henrik Pontoppidan
1917,Literature,Karl Gjellerup
1917,Peace,International Committee of the Red Cross
1917,Physics,Charles Glover Barkla
1918,Chemistry,Fritz Haber
1918,Physics,Max Planck
1919,Literature,Carl Spitteler
1919,Medicine,Jules Bordet
1919,Peace,Woodrow Wilson
1919,Physics,Johannes Stark
1920,Chemistry,Walther Nernst
1920,Literature,Knut Hamsun
1920,Medicine,August Krogh
1921,Chemistry,Frederick Soddy
1921,Literature,Anatole France
1921,Peace,Christian Lange
1921,Peace,Hjalmar Branting
1921,Physics,Albert Einstein
1922,Chemistry,Francis W. Aston
1922,Literature,Jacinto Benavente
1922,Medicine,Archibald V. Hill
1922,Medicine,Otto Meyerhof
1922,Peace,Fridtjof Nansen
1922,Physics,Niels Bohr
1923,Chemistry,Fritz Pregl
1923,Literature,William Butler Yeats
1923,Medicine,Frederick G. Banting
1923,Medicine,John Macleod
1923,Physics,Robert A. Millikan
1924,Literature,Wladyslaw Reymont
1924,Medicine,Willem Einthoven
1924,Physics,Manne Siegbahn
1925,Chemistry,Richard Zsigmondy
1925,Literature,George Bernard Shaw
1925,Peace,Charles G. Dawes
1925,Peace,Sir Austen Chamberlain
1925,Physics,Gustav Hertz
1925,Physics,James Franck
1926,Chemistry,The Svedberg
1926,Literature,Grazia Deledda
1926,Medicine,Johannes Fibiger
1926,Peace,Aristide Briand
1926,Peace,Gustav Stresemann
1926,Physics,Jean Baptiste Perrin
1927,Chemistry,Heinrich Wieland
1927,Literature,Henri Bergson
1927,Medicine,Julius Wagner-Jauregg
1927,Peace,Ferdinand Buisson
1927,Peace,Ludwig Quidde
1927,Physics,Arthur H. Compton
1927,Physics,C.T.R. Wilson
1928,Chemistry,Adolf Windaus
1928,Literature,Sigrid Undset
1928,Medicine,Charles Nicolle
1928,Physics,Owen Willans Richardson
1929,Chemistry,Arthur Harden
1929,Chemistry,Hans von Euler-Chelpin
1929,Literature,Thomas Mann
1929,Medicine,Christiaan Eijkman
1929,Medicine,Sir Frederick Hopkins
1929,Peace,Frank B. Kellogg
1929,Physics,Louis de Broglie
1930,Chemistry,Hans Fischer
1931,Chemistry,Carl Bosch
1931,Chemistry,Friedrich Bergius
1931,Literature,Erik Axel Karlfeldt
1931,Medicine,Otto Warburg
1931,Peace,Jane Addams
1931,Peace,Nicholas Murray Butler
1932,Chemistry,Irving Langmuir
1932,Literature,John Galsworthy
1932,Medicine,Edgar Adrian
1932,Medicine,Sir Charles Sherrington
1932,Physics,Werner Heisenberg
1933,Literature,Ivan Bunin
1933,Medicine,Thomas H. Morgan
1933,Peace,Sir Norman Angell
1933,Physics,Erwin Schrödinger
1933,Physics,Paul A.M. Dirac
1934,Chemistry,Harold C. Urey
1934,Literature,Luigi Pirandello
1934,Medicine,George H. Whipple
1934,Medicine,George R. Minot
1934,Medicine,William P. Murphy
1934,Peace,Arthur Henderson
1935,Chemistry,Frédéric Joliot
1935,Chemistry,Irène Joliot-Curie
1935,Medicine,Hans Spemann
1935,Peace,Carl von Ossietzky
1935,Physics,James Chadwick
1936,Chemistry,Peter Debye
1936,Literature,Eugene O'Neill
1936,Medicine,Otto Loewi
1936,Medicine,Sir Henry Dale
1936,Peace,Carlos Saavedra Lamas
1936,Physics,Carl D. Anderson
1936,Physics,Victor F. Hess
1937,Chemistry,Norman Haworth
1937,Chemistry,Paul Karrer
1937,Literature,Roger Martin du Gard
1937,Medicine,Albert Szent-Györgyi
1937,Peace,Robert Cecil
1937,Physics,Clinton Davisson
1937,Physics,George Paget Thomson
1938,Chemistry,Richard Kuhn
1938,Literature,Pearl Buck
1938,Medicine,Corneille Heymans
1938,Peace,Nansen International Office for Refugees
1938,Physics,Enrico Fermi
1939,Chemistry,Adolf Butenandt
1939,Chemistry,Leopold Ruzicka
1939,Literature,Frans Eemil Sillanpää
1939,Medicine,Gerhard Domagk
1943,Chemistry,George de Hevesy
1943,Medicine,Edward A. Doisy
1943,Medicine,Henrik Dam
1943,Physics,Otto Stern
1944,Chemistry,Otto Hahn
1944,Literature,Johannes V. Jensen
1944,Medicine,Herbert S. Gasser
1944,Medicine,Joseph Erlanger
1944,Peace,International Committee of the Red Cross
1944,Physics,Isidor Isaac Rabi
1945,Chemistry,Artturi Virtanen
1945,Literature,Gabriela Mistral
1945,Medicine,Ernst B. Chain
1945,Medicine,Sir Alexander Fleming
1945,Medicine,Sir Howard Florey
1945,Peace,Cordell Hull
1945,Physics,Wolfgang Pauli
1946,Chemistry,James B. Sumner
1946,Chemistry,John H. Northrop
1946,Chemistry,Wendell M. Stanley
1946,Literature,Hermann Hesse
1946,Medicine,Hermann J. Muller
1946,Peace,Emily Greene Balch
1946,Peace,John R. Mott
1946,Physics,Percy W. Bridgman
1947,Chemistry,Sir Robert Robinson
1947,Literature,André Gide
1947,Medicine,Bernardo Houssay
1947,Medicine,Carl Cori
1947,Medicine,Gerty Cori
1947,Peace,American Friends Service Committee
1947,Peace,Friends Service Council
1947,Physics,Edward V. Appleton
1948,Chemistry,Arne Tiselius
1948,Literature,T.S. Eliot
1948,Medicine,Paul Müller
1948,Physics,Patrick M.S. Blackett
1949,Chemistry,William F. Giauque
1949,Literature,William Faulkner
1949,Medicine,Egas Moniz
1949,Medicine,Walter Hess
1949,Peace,Lord Boyd Orr
1949,Physics,Hideki Yukawa
1950,Chemistry,Kurt Alder
1950,Chemistry,Otto Diels
1950,Literature,Bertrand Russell
1950,Medicine,Edward C. Kendall
1950,Medicine,Philip S. Hench
1950,Medicine,Tadeus Reichstein
1950,Peace,Ralph Bunche
1951,Chemistry,Edwin M. McMillan
1951,Chemistry,Glenn T. Seaborg
1951,Literature,Pär Lagerkvist
1951,Medicine,Max Theiler
1951,Peace,Léon Jouhaux
1951,Physics,Ernest T.S. Walton
1951,Physics,John Cockcroft
1952,Chemistry,Archer J.P. Martin
1952,Chemistry,Richard L.M. Synge
1952,Literature,François Mauriac
1952,Medicine,Selman A. Waksman
1952,Peace,Albert Schweitzer
1952,Physics,E. M. Purcell
1952,Physics,Felix Bloch
1953,Chemistry,Hermann Staudinger
1953,Literature,Winston Churchill
1953,Medicine,Fritz Lipmann
1953,Medicine,Hans Krebs
1953,Peace,George C. Marshall
1953,Physics,Frits Zernike
1954,Chemistry,Linus Pauling
1954,Literature,Ernest Hemingway
1954,Medicine,Frederick C. Robbins
1954,Medicine,John F. Enders
1954,Medicine,Thomas H. Weller
1954,Physics,Max Born
1954,Physics,Walther Bothe
1955,Chemistry,Vincent du Vigneaud
1955,Literature,Halldór Laxness
1955,Medicine,Hugo Theorell
1955,Physics,Polykarp Kusch
1955,Physics,Willis E. Lamb
1956,Chemistry,Nikolay Semenov
1956,Chemistry,Sir Cyril Hinshelwood
1956,Literature,Juan Ramón Jiménez
1956,Medicine,André F. Cournand
1956,Medicine,Dickinson W. Richards
1956,Medicine,Werner Forssmann
1956,Physics,John Bardeen
1956,Physics,Walter H. Brattain
1956,Physics,William B. Shockley
1957,Chemistry,Lord Todd
1957,Literature,Albert Camus
1957,Medicine,Daniel Bovet
1957,Peace,Lester Bowles Pearson
1957,Physics,Chen Ning Yang
1957,Physics,Tsung-Dao Lee
1958,Chemistry,Frederick Sanger
1958,Literature,Boris Pasternak
1958,Medicine,Edward Tatum
1959,Chemistry,Jaroslav Heyrovsky
1959,Literature,Salvatore Quasimodo
1959,Medicine,Arthur Kornberg
1959,Medicine,Severo Ochoa
1959,Peace,Philip Noel-Baker
1959,Physics,Emilio Segrè
1959,Physics,Owen Chamberlain
1960,Chemistry,Willard F. Libby
1960,Literature,Saint-John Perse
1960,Medicine,Peter Medawar
1960,Medicine,Sir Frank Macfarlane Burnet
1960,Peace,Albert Lutuli
1960,Physics,Donald A. Glaser
1961,Chemistry,Melvin Calvin
1961,Literature,Ivo Andric
1961,Medicine,Georg von Békésy
1961,Peace,Dag Hammarskjöld
1961,Physics,Robert Hofstadter
1961,Physics,Rudolf Mössbauer
1962,Chemistry,John C. Kendrew
1962,Chemistry,Max F. Perutz
1962,Literature,John Steinbeck
1962,Medicine,Francis Crick
1962,Medicine,James Watson
1962,Medicine,Maurice Wilkins
1962,Peace,Linus Pauling
1962,Physics,Lev Landau
1963,Chemistry,Giulio Natta
1963,Chemistry,Karl Ziegler
1963,Literature,Giorgos Seferis
1963,Medicine,Alan L. Hodgkin
1963,Medicine,Andrew F. Huxley
1963,Medicine,Sir John Eccles
1963,Peace,International Committee of the Red Cross
1963,Peace,League of Red Cross Societies
1963,Physics,Eugene Wigner
1963,Physics,J. Hans D. Jensen
1963,Physics,Maria Goeppert-Mayer
1964,Chemistry,Dorothy Crowfoot Hodgkin
1964,Literature,Jean-Paul Sartre
1964,Medicine,Feodor Lynen
1964,Medicine,Konrad Bloch
1964,Peace,Martin Luther King Jr.
1964,Physics,Aleksandr M. Prokhorov
1964,Physics,Charles H. Townes
1964,Physics,Nicolay G. Basov
1965,Chemistry,Robert B. Woodward
1965,Literature,Mikhail Sholokhov
1965,Medicine,André Lwoff
1965,Medicine,François Jacob
