연도,시도,시군구,지표명,국민보험 가입자,이용환자 수,지표값(퍼센트)
2011,인천광역시,전체,치매의료이용률,1269469,11595,0.91
2011,광주광역시,전체,치매의료이용률,621563,8779,1.41
2011,대전광역시,전체,치매의료이용률,657683,7822,1.19
2011,울산광역시,전체,치매의료이용률,513824,4496,0.88
2011,경기도,전체,치매의료이용률,5259642,50708,0.96
2011,강원도,전체,치매의료이용률,746336,8913,1.19
2011,충청북도,전체,치매의료이용률,745972,10447,1.4
2011,충청남도,전체,치매의료이용률,1006911,16454,1.63
2011,전라북도,전체,치매의료이용률,921785,18963,2.06
2011,전라남도,전체,치매의료이용률,1008070,23170,2.3
2011,경상북도,전체,치매의료이용률,1379444,23230,1.68
2011,경상남도,전체,치매의료이용률,1568596,26909,1.72
2011,제주특별자치도,전체,치매의료이용률,258088,4200,1.63
2012,서울특별시,전체,치매의료이용률,4886624,53353,1.09
2012,부산광역시,전체,치매의료이용률,1837745,27734,1.51
2012,대구광역시,전체,치매의료이용률,1221687,17098,1.4
2012,인천광역시,전체,치매의료이용률,1320178,14199,1.08
2012,광주광역시,전체,치매의료이용률,643402,10912,1.7
2012,대전광역시,전체,치매의료이용률,679889,9214,1.36
2012,울산광역시,전체,치매의료이용률,531475,5214,0.98
2012,경기도,전체,치매의료이용률,5483441,60858,1.11
2012,강원도,전체,치매의료이용률,767124,10706,1.4
2012,충청북도,전체,치매의료이용률,768112,12375,1.61
2012,충청남도,전체,치매의료이용률,1038334,19782,1.91
2012,전라북도,전체,치매의료이용률,943750,23767,2.52
2012,전라남도,전체,치매의료이용률,1024974,27586,2.69
2012,경상북도,전체,치매의료이용률,1412278,27648,1.96
2012,경상남도,전체,치매의료이용률,1616800,31613,1.96
2012,제주특별자치도,전체,치매의료이용률,267993,4985,1.86
2013,서울특별시,전체,치매의료이용률,4975068,61053,1.23
2013,부산광역시,전체,치매의료이용률,1867298,32319,1.73
2013,대구광역시,전체,치매의료이용률,1250217,20194,1.62
2013,인천광역시,전체,치매의료이용률,1366654,16975,1.24
2013,광주광역시,전체,치매의료이용률,663359,12345,1.86
2013,대전광역시,전체,치매의료이용률,701229,10755,1.53
2013,울산광역시,전체,치매의료이용률,548440,6008,1.1
2013,세종특별자치시,전체,치매의료이용률,56879,1273,2.24
2013,경기도,전체,치매의료이용률,5694132,70587,1.24
2013,강원도,전체,치매의료이용률,784354,12474,1.59
2013,충청북도,전체,치매의료이용률,786354,14134,1.8
2013,충청남도,전체,치매의료이용률,1020566,22425,2.2
2013,전라북도,전체,치매의료이용률,965268,28471,2.95
2013,전라남도,전체,치매의료이용률,1040821,31438,3.02
2013,경상북도,전체,치매의료이용률,1440607,32191,2.23
2013,경상남도,전체,치매의료이용률,1659628,36163,2.18
2013,제주특별자치도,전체,치매의료이용률,278081,5914,2.13
2014,서울특별시,전체,치매의료이용률,5098765,69669,1.37
2014,부산광역시,전체,치매의료이용률,1902302,37798,1.99
2014,대구광역시,전체,치매의료이용률,1283321,23175,1.81
2014,인천광역시,전체,치매의료이용률,1417978,19855,1.4
2014,광주광역시,전체,치매의료이용률,689565,14507,2.1
2014,대전광역시,전체,치매의료이용률,729668,12705,1.74
2014,울산광역시,전체,치매의료이용률,564905,6833,1.21
2014,세종특별자치시,전체,치매의료이용률,62619,1555,2.48
2014,경기도,전체,치매의료이용률,5946527,82928,1.39
2014,강원도,전체,치매의료이용률,835749,15189,1.82
2014,충청북도,전체,치매의료이용률,824129,16875,2.05
2014,충청남도,전체,치매의료이용률,1075102,27059,2.52
2014,전라북도,전체,치매의료이용률,1013097,32960,3.25
2014,전라남도,전체,치매의료이용률,1083568,36168,3.34
2014,경상북도,전체,치매의료이용률,1497157,37902,2.53
2014,경상남도,전체,치매의료이용률,1725353,42190,2.45
2014,제주특별자치도,전체,치매의료이용률,302910,7368,2.43
2015,서울특별시,전체,치매의료이용률,5175287,77356,1.49
2015,부산광역시,전체,치매의료이용률,1924443,42639,2.22
2015,대구광역시,전체,치매의료이용률,1302263,25655,1.97
2015,인천광역시,전체,치매의료이용률,1455370,21986,1.51
2015,광주광역시,전체,치매의료이용률,704993,16258,2.31
2015,대전광역시,전체,치매의료이용률,743763,13981,1.88
2015,울산광역시,전체,치매의료이용률,580478,8097,1.39
2015,세종특별자치시,전체,치매의료이용률,75314,1956,2.6
2015,경기도,전체,치매의료이용률,6129568,94473,1.54
2015,강원도,전체,치매의료이용률,849507,17273,2.03
2015,충청북도,전체,치매의료이용률,840353,19496,2.32
2015,충청남도,전체,치매의료이용률,1098614,30816,2.8
2015,전라북도,전체,치매의료이용률,1028527,37619,3.66
2015,전라남도,전체,치매의료이용률,1096429,41186,3.76
2015,경상북도,전체,치매의료이용률,1522242,43275,2.84
2015,경상남도,전체,치매의료이용률,1764162,48014,2.72
2015,제주특별자치도,전체,치매의료이용률,313901,8361,2.66
2016,서울특별시,전체,치매의료이용률,5228719,85326,1.63
2016,부산광역시,전체,치매의료이용률,1945296,46691,2.4
2016,대구광역시,전체,치매의료이용률,1321295,28298,2.14
2016,인천광역시,전체,치매의료이용률,1494515,25068,1.68
2016,광주광역시,전체,치매의료이용률,719847,17336,2.41
2016,대전광역시,전체,치매의료이용률,754012,15633,2.07
2016,울산광역시,전체,치매의료이용률,594191,8982,1.51
2016,세종특별자치시,전체,치매의료이용률,96463,2347,2.43
2016,경기도,전체,치매의료이용률,6337908,107894,1.7
2016,강원도,전체,치매의료이용률,865214,19768,2.28
2016,충청북도,전체,치매의료이용률,858510,21821,2.54
2016,충청남도,전체,치매의료이용률,1125309,34935,3.1
2016,전라북도,전체,치매의료이용률,1045249,41886,4.01
2016,전라남도,전체,치매의료이용률,1111913,45409,4.08
2016,경상북도,전체,치매의료이용률,1546361,48742,3.15
2016,경상남도,전체,치매의료이용률,1800500,52634,2.92
2016,제주특별자치도,전체,치매의료이용률,327862,9195,2.8
2017,서울특별시,전체,치매의료이용률,5263144,92631,1.76
2017,부산광역시,전체,치매의료이용률,1963489,50202,2.56
2017,대구광역시,전체,치매의료이용률,1340967,31164,2.32
2017,인천광역시,전체,치매의료이용률,1532517,28324,1.85
2017,광주광역시,전체,치매의료이용률,734207,18512,2.52
2017,대전광역시,전체,치매의료이용률,765318,17175,2.24
2017,울산광역시,전체,치매의료이용률,604479,10028,1.66
2017,세종특별자치시,전체,치매의료이용률,110835,2754,2.48
2017,경기도,전체,치매의료이용률,6556946,121845,1.86
2017,강원도,전체,치매의료이용률,880430,22272,2.53
2017,충청북도,전체,치매의료이용률,877974,24457,2.79
2017,충청남도,전체,치매의료이용률,1153553,39383,3.41
2017,전라북도,전체,치매의료이용률,1060066,45887,4.33
2017,전라남도,전체,치매의료이용률,1124400,49710,4.42
2017,경상북도,전체,치매의료이용률,1569995,54147,3.45
2017,경상남도,전체,치매의료이용률,1839461,57300,3.12
2017,제주특별자치도,전체,치매의료이용률,342468,9990,2.92
2018,서울특별시,전체,치매의료이용률,5290038,101050,1.91
2018,부산광역시,전체,치매의료이용률,1974167,54364,2.75
2018,대구광역시,전체,치매의료이용률,1353410,34191,2.53
2018,인천광역시,전체,치매의료이용률,1564564,31826,2.03
2018,광주광역시,전체,치매의료이용률,744953,20489,2.75
2018,대전광역시,전체,치매의료이용률,772841,18973,2.45
2018,울산광역시,전체,치매의료이용률,612321,10916,1.78
2018,세종특별자치시,전체,치매의료이용률,127690,3091,2.42
2018,경기도,전체,치매의료이용률,6750833,137303,2.03
2018,강원도,전체,치매의료이용률,893718,24947,2.79
2018,충청북도,전체,치매의료이용률,893510,27337,3.06
2018,충청남도,전체,치매의료이용률,1182465,44514,3.76
2018,전라북도,전체,치매의료이용률,1070793,51013,4.76
2018,전라남도,전체,치매의료이용률,1135019,55006,4.85
2018,경상북도,전체,치매의료이용률,1589121,60293,3.79
2018,경상남도,전체,치매의료이용률,1873084,63588,3.39
2018,제주특별자치도,전체,치매의료이용률,354842,10678,3.01
2019,서울특별시,전체,치매의료이용률,5352607,107674,2.01
2019,부산광역시,전체,치매의료이용률,1992277,59268,2.97
2019,대구광역시,전체,치매의료이용률,1371375,37282,2.72
2019,인천광역시,전체,치매의료이용률,1607156,34686,2.16
2019,광주광역시,전체,치매의료이용률,760133,22257,2.93
2019,대전광역시,전체,치매의료이용률,783073,20936,2.67
2019,울산광역시,전체,치매의료이용률,623674,12194,1.96
2019,세종특별자치시,전체,치매의료이용률,144308,3560,2.47
2019,경기도,전체,치매의료이용률,7030981,151829,2.16
2019,강원도,전체,치매의료이용률,907930,27409,3.02
2019,충청북도,전체,치매의료이용률,914479,30017,3.28
2019,충청남도,전체,치매의료이용률,1213950,49303,4.06
2019,전라북도,전체,치매의료이용률,1082760,56200,5.19
2019,전라남도,전체,치매의료이용률,1147592,60360,5.26
2019,경상북도,전체,치매의료이용률,1611230,66818,4.15
2019,경상남도,전체,치매의료이용률,1912219,69886,3.65
2019,제주특별자치도,전체,치매의료이용률,366943,11163,3.04
2002,서울특별시,종로구,치매의료이용률,120828,195,0.16
2002,서울특별시,중구,치매의료이용률,167818,303,0.18
2002,서울특별시,용산구,치매의료이용률,109473,178,0.16
2002,서울특별시,성동구,치매의료이용률,131533,156,0.12
2002,서울특별시,광진구,치매의료이용률,131047,121,0.09
2002,서울특별시,동대문구,치매의료이용률,149172,132,0.09
2002,서울특별시,중랑구,치매의료이용률,153926,112,0.07
2002,서울특별시,성북구,치매의료이용률,166045,181,0.11
2002,서울특별시,강북구,치매의료이용률,130369,112,0.09
2002,서울특별시,도봉구,치매의료이용률,129802,130,0.1
2002,서울특별시,노원구,치매의료이용률,216731,265,0.12
2002,서울특별시,은평구,치매의료이용률,123056,115,0.09
2002,서울특별시,서대문구,치매의료이용률,138361,192,0.14
2002,서울특별시,마포구,치매의료이용률,156396,226,0.14
2002,서울특별시,양천구,치매의료이용률,167503,185,0.11
2002,서울특별시,강서구,치매의료이용률,190832,173,0.09
2002,서울특별시,구로구,치매의료이용률,147689,104,0.07
2002,서울특별시,금천구,치매의료이용률,96455,49,0.05
2002,서울특별시,영등포구,치매의료이용률,209352,264,0.13
2002,서울특별시,동작구,치매의료이용률,138946,154,0.11
2002,서울특별시,관악구,치매의료이용률,172358,159,0.09
2002,서울특별시,서초구,치매의료이용률,207611,352,0.17
2002,서울특별시,강남구,치매의료이용률,298934,528,0.18
2002,서울특별시,송파구,치매의료이용률,237911,292,0.12
2002,서울특별시,강동구,치매의료이용률,167692,153,0.09
2002,부산광역시,중구,치매의료이용률,33269,45,0.14
2002,부산광역시,서구,치매의료이용률,66052,91,0.14
2002,부산광역시,동구,치매의료이용률,57837,59,0.1
2002,부산광역시,영도구,치매의료이용률,76590,68,0.09
2002,부산광역시,부산진구,치매의료이용률,126024,108,0.09
2002,부산광역시,동래구,치매의료이용률,113903,99,0.09
2002,부산광역시,남구,치매의료이용률,118052,102,0.09
2002,부산광역시,북구,치매의료이용률,93633,66,0.07
2002,부산광역시,해운대구,치매의료이용률,143686,104,0.07
2002,부산광역시,사하구,치매의료이용률,144452,187,0.13
2002,부산광역시,금정구,치매의료이용률,108121,70,0.06
2002,부산광역시,강서구,치매의료이용률,30681,45,0.15
2002,부산광역시,연제구,치매의료이용률,92680,71,0.08
2002,부산광역시,수영구,치매의료이용률,72892,73,0.1
2002,부산광역시,사상구,치매의료이용률,116970,99,0.08
2002,부산광역시,기장군,치매의료이용률,31438,24,0.08
2002,대구광역시,중구,치매의료이용률,44551,50,0.11
2002,대구광역시,동구,치매의료이용률,123870,111,0.09
2002,대구광역시,서구,치매의료이용률,105456,76,0.07
2002,대구광역시,남구,치매의료이용률,73572,80,0.11
2002,대구광역시,북구,치매의료이용률,126571,86,0.07
2002,대구광역시,수성구,치매의료이용률,165076,183,0.11
2002,대구광역시,달서구,치매의료이용률,186174,155,0.08
2002,대구광역시,달성군,치매의료이용률,54472,37,0.07
2002,인천광역시,중구,치매의료이용률,36845,39,0.11
2002,인천광역시,동구,치매의료이용률,34092,35,0.1
2002,인천광역시,남구,치매의료이용률,153665,118,0.08
2002,인천광역시,연수구,치매의료이용률,73855,72,0.1
2002,인천광역시,남동구,치매의료이용률,141666,110,0.08
2002,인천광역시,부평구,치매의료이용률,180360,159,0.09
2002,인천광역시,계양구,치매의료이용률,94292,56,0.06
2002,인천광역시,서구,치매의료이용률,110045,72,0.07
2002,인천광역시,강화군,치매의료이용률,34580,16,0.05
2002,인천광역시,옹진군,치매의료이용률,7254,9,0.12
2002,광주광역시,동구,치매의료이용률,48308,73,0.15
2002,광주광역시,서구,치매의료이용률,79805,54,0.07
2002,광주광역시,남구,치매의료이용률,82335,60,0.07
2002,광주광역시,북구,치매의료이용률,149672,133,0.09
2002,광주광역시,광산구,치매의료이용률,66001,66,0.1
2002,대전광역시,동구,치매의료이용률,91099,78,0.09
2002,대전광역시,중구,치매의료이용률,97841,116,0.12
2002,대전광역시,서구,치매의료이용률,146938,169,0.12
2002,대전광역시,유성구,치매의료이용률,49688,62,0.12
2002,대전광역시,대덕구,치매의료이용률,69932,60,0.09
2002,울산광역시,중구,치매의료이용률,75132,54,0.07
2002,울산광역시,남구,치매의료이용률,112841,99,0.09
2002,울산광역시,동구,치매의료이용률,64267,44,0.07
2002,울산광역시,북구,치매의료이용률,32759,29,0.09
2002,울산광역시,울주군,치매의료이용률,58304,52,0.09
2002,경기도,수원시 장안구,치매의료이용률,89046,58,0.07
2002,경기도,수원시 권선구,치매의료이용률,82643,48,0.06
2002,경기도,수원시 팔달구,치매의료이용률,92185,57,0.06
2002,경기도,성남시 수정구,치매의료이용률,83919,52,0.06
2002,경기도,성남시 중원구,치매의료이용률,89854,33,0.04
2002,경기도,성남시 분당구,치매의료이용률,155214,247,0.16
2002,경기도,의정부시,치매의료이용률,104903,66,0.06
2002,경기도,안양시 만안구,치매의료이용률,84193,45,0.05
2002,경기도,안양시 동안구,치매의료이용률,108094,113,0.1
2002,경기도,부천시 원미구,치매의료이용률,126489,108,0.09
2002,경기도,부천시 소사구,치매의료이용률,66949,73,0.11
2002,경기도,부천시 오정구,치매의료이용률,59416,35,0.06
2002,경기도,광명시,치매의료이용률,105819,90,0.09
2002,경기도,평택시,치매의료이용률,120669,113,0.09
2002,경기도,동두천시,치매의료이용률,26786,18,0.07
2002,경기도,안산시,치매의료이용률,136171,90,0.07
2002,경기도,고양시 덕양구,치매의료이용률,108608,110,0.1
2002,경기도,고양시일산구,치매의료이용률,137214,226,0.16
2002,경기도,과천시,치매의료이용률,25994,53,0.2
2002,경기도,구리시,치매의료이용률,59371,35,0.06
2002,경기도,남양주시,치매의료이용률,123677,89,0.07
2002,경기도,오산시,치매의료이용률,31652,27,0.09
2002,경기도,시흥시,치매의료이용률,90285,64,0.07
2002,경기도,군포시,치매의료이용률,83508,51,0.06
2002,경기도,의왕시,치매의료이용률,43281,36,0.08
2002,경기도,하남시,치매의료이용률,45196,32,0.07
2002,경기도,용인시,치매의료이용률,138340,132,0.1
2002,경기도,파주시,치매의료이용률,76215,87,0.11
2002,경기도,이천시,치매의료이용률,63654,38,0.06
2002,경기도,안성시,치매의료이용률,55320,53,0.1
2002,경기도,김포시,치매의료이용률,61498,53,0.09
2002,경기도,화성시,치매의료이용률,87808,54,0.06
2002,경기도,광주시,치매의료이용률,55175,37,0.07
2002,경기도,양주군,치매의료이용률,47776,37,0.08
2002,경기도,여주군,치매의료이용률,43211,33,0.08
2002,경기도,연천군,치매의료이용률,21768,8,0.04
2002,경기도,포천군,치매의료이용률,57692,40,0.07
2002,경기도,가평군,치매의료이용률,24820,12,0.05
2002,경기도,양평군,치매의료이용률,38134,35,0.09
2002,강원도,춘천시,치매의료이용률,94680,47,0.05
2002,강원도,원주시,치매의료이용률,98357,56,0.06
2002,강원도,강릉시,치매의료이용률,91055,43,0.05
2002,강원도,동해시,치매의료이용률,37787,19,0.05
2002,강원도,태백시,치매의료이용률,23633,11,0.05
2002,강원도,속초시,치매의료이용률,33299,23,0.07
2002,강원도,삼척시,치매의료이용률,35003,10,0.03
2002,강원도,홍천군,치매의료이용률,32389,12,0.04
2002,강원도,횡성군,치매의료이용률,21780,10,0.05
2002,강원도,영월군,치매의료이용률,23220,11,0.05
2002,강원도,평창군,치매의료이용률,21756,4,0.02
2002,강원도,정선군,치매의료이용률,22949,15,0.07
2002,강원도,철원군,치매의료이용률,20975,16,0.08
2002,강원도,화천군,치매의료이용률,9770,8,0.08
2002,강원도,양구군,치매의료이용률,9275,3,0.03
2002,강원도,인제군,치매의료이용률,12878,6,0.05
2002,강원도,고성군,치매의료이용률,16039,14,0.09
2002,강원도,양양군,치매의료이용률,14117,13,0.09
2002,충청북도,청주시 상당구,치매의료이용률,74461,49,0.07
2002,충청북도,청주시 흥덕구,치매의료이용률,104655,59,0.06
2002,충청북도,충주시,치매의료이용률,84004,94,0.11
2002,충청북도,제천시,치매의료이용률,49539,27,0.05
2002,충청북도,청원군,치매의료이용률,53906,37,0.07
2002,충청북도,보은군,치매의료이용률,22035,17,0.08
2002,충청북도,옥천군,치매의료이용률,28342,31,0.11
2002,충청북도,영동군,치매의료이용률,27995,26,0.09
2002,충청북도,진천군,치매의료이용률,25596,30,0.12
2002,충청북도,괴산군,치매의료이용률,30399,27,0.09
2002,충청북도,음성군,치매의료이용률,37716,32,0.08
2002,충청북도,단양군,치매의료이용률,19424,2,0.01
2002,충청남도,천안시,치매의료이용률,133921,169,0.13
2002,충청남도,공주시,치매의료이용률,59221,59,0.1
2002,충청남도,보령시,치매의료이용률,50464,47,0.09
2002,충청남도,아산시,치매의료이용률,65627,86,0.13
2002,충청남도,서산시,치매의료이용률,59482,54,0.09
2002,충청남도,논산시,치매의료이용률,68688,77,0.11
2002,충청남도,금산군,치매의료이용률,31024,29,0.09
2002,충청남도,연기군,치매의료이용률,34645,36,0.1
2002,충청남도,부여군,치매의료이용률,45772,48,0.1
2002,충청남도,서천군,치매의료이용률,37213,41,0.11
2002,충청남도,청양군,치매의료이용률,20928,17,0.08
2002,충청남도,홍성군,치매의료이용률,44539,34,0.08
2002,충청남도,예산군,치매의료이용률,47709,42,0.09
