치매센터명,치매센터유형,소재지도로명주소,소재지지번주소,위도,경도,설립연월,건축물면적,부대시설정보,의사인원수,간호사인원수,사회복지사인원수,기타인원현황,운영기관명,운영기관대표자명,운영기관전화번호,운영위탁일자,주요치매관리프로그램소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
완도군치매안심센터,치매안심센터,전라남도 완도군 완도읍 농공단지길 34,전라남도 완도군 완도읍 죽청리 483-8,34.33582329,126.731327,2018-12,,,1,5,3,2,완도군보건의료원,김선종,061-550-5810,,치매조기검진 치매예방관리사업 치매사례관리 치매인식개선 및 홍보 치매공공후견인 치매치료관리비 지원사업,061-550-5810,완도군,2021-10-14,4990000,전라남도 완도군
보성군치매안심센터,치매안심센터,전라남도 보성군 보성읍 갱맹골길 206,전라남도 보성군 보성읍 주봉리 529,34.7664558,127.071271,2017-11,344,사무실+검진실+가족카페+쉼터+프로그램실+상담실,2,7,1,4,전라남도 보성군보건소,김미자,061-850-8695,2018-11-27,치매조기검진 및 등록 관리+치매예방교실+조호물품제공 등,061-853-4000,전라남도 보성군보건소,2022-06-28,4890000,전라남도 보성군
단양군치매안심센터,치매안심센터,충청북도 단양군 단양읍 수변로 83,충청북도 단양군 단양읍 도전리 632,36.98284257,128.3707522,2022-11,309,,0,2,3,5,충청북도 단양군 보건소,강규원,043-420-3201,,인지재활,043-420-3201,충청북도 단양군 보건소,2022-06-15,4480000,충청북도 단양군
논산시치매안심센터,치매안심센터,충청남도 논산시 논산대로 408,충청남도 논산시 관촉동 329-2,36.19653553,127.1047397,2019-11,730.27,가족카페+검진실+상담실+쉼터 등,1,13,2,5,논산시보건소,한미옥,041-746-6921,,치매조기검진+치매예방교육+치매환자등록관리+치매환자 가족교실 및 자조모임+치매환자 쉼터운영 등,041-746-6939,충청남도 논산시 보건소,2022-06-08,4540000,충청남도 논산시
옥천군치매안심센터,치매안심센터,충청북도 옥천군 옥천읍 가화4길 18,충청북도 옥천군 옥천읍 금구리 230-20,36.30508487,127.5612257,2016-06,610,사무실(2)+건강교실(1)+검사실(2)+가족카페(1)+쉼터(1)+프로그램실(1),0,9,2,4,옥천군치매안심센터,이인숙,043-730-2158,,치매조기검진+치매환자 및 가족지원사업+치매인식개선 홍보 및 교육,043-730-2114,충청북도 옥천군청,2022-05-26,4430000,충청북도 옥천군
의왕시치매안심센터,치매안심센터,경기도 의왕시 오봉로 34,,37.34378787,126.9719939,2019-03,287.82,쉼터(1)+가족카페(1)+검사실(2)+진료실(1)+사무실(1),1,5,1,작업치료사(3) + 기타(1),의왕시보건소,김재복,031-345-3851,,"치매조기검진사업, 쉼터 운영, 가족교실, 인지강화교육, 치매 치료비지원, 치매인식개선, 치매안심마을 운영",031-345-3851,경기도 의왕시청,2022-06-13,4030000,경기도 의왕시
치매안심센터 주촌분소,치매안심센터,경상남도 김해시 주촌면 주선로 29-1 2층,경상남도 김해시 주촌면 선지리 635-1 2층,35.23477742,128.8457571,2018-03,1982.94,사무실+상담실+쉼터,0,5,2,심리상담사(1),김해시 보건소,이종학,055-320-5971,,인지재활프로그램,055-320-5971,경상남도 김해시청,2022-06-09,5350000,경상남도 김해시
김해시치매안심센터,치매안심센터,경상남도 김해시 분성로727번길 8-35 1층,경상남도 김해시 지내동 327-2 1층,35.2300251,128.9224445,2020-09,585.49,사무실+상담실+쉼터,0,11,3,작업치료사(2),김해시 보건소,이종학,055-320-5961,,인지재활프로그램,055-320-5961,경상남도 김해시청,2022-06-09,5350000,경상남도 김해시
여수시치매안심센터,치매안심센터,전라남도 여수시 신월로 794,전라남도 여수시 봉강동 323-11,34.73912089,127.7260546,2017-11,237,사무실(2)+검진실(4)+상담실(4)+프로그램실(2),0,19,4,작업치료사(2)+기타(2),여수시 보건소,박춘순,061-659-5440,,치매선별검사(MMSE-DS)+치매조기검진비 지원+치매치료관리비 지원+치매배회어르신 관리+치매파트너모집+인지재활프로그램,061-659-5440,전라남도 여수시 보건소,2022-06-17,4810000,전라남도 여수시
무주군치매안심센터,치매안심센터,전라북도 무주군 무주읍 한풍루로413,전라북도 무주군 무주읍 당산리 701,36.005882,127.6716991,2018-07,309,사무실+프로그램실,1,5,1,4,무주군보건의료원,홍찬표,063-320-8601,,치매예방+인지강화+인지재활,,전라북도 무주군보건의료원,2022-06-17,4740000,전라북도 무주군
울릉군치매안심센터,치매안심센터,경상북도 울릉군 울릉읍 울릉순환로 396-18,,37.48590672,130.8994626301,2018-05,72,치매단기쉼터,1,4,2,0,울릉군보건의료원,김영헌,054-790-6827,,치매치료관리비지원,054-880-3805,경상북도 보건정책과,2022-06-17,5260000,경상북도 울릉군
서북구치매안심센터,치매안심센터,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,36.8197764,127.1398813,2012-03,489,사무실 2+ 프로그램실 2+ 상담실 1+ 검사실 1+ 쉼터 1+ 가족카페1,0,9,2,3,서북구보건소,이현기,041-521-5740,,치매조기검진+인지재활+쉼터+가족지원사업 등,041-521-5928,충청남도 천안시청,2022-06-14,4490000,충청남도 천안시
동남구치매안심센터,치매안심센터,충청남도 천안시 동남구 버들로 40,충청남도 천안시 동남구 문화동 112-1,36.80718993,127.1514636,2018-11,578,사무실 2+ 프로그램실 1+ 상담실 1+ 검사실 1+ 쉼터1+ 가족카페1,0,7,2,4,동남구보건소,주미응,041-521-3343,,치매조기검진+인지재활+쉼터+가족지원사업 등,041-521-3343,충청남도 천안시청,2022-06-14,4490000,충청남도 천안시
서귀포시서부보건소치매안심센터,치매안심센터,제주특별자치도 서귀포시 대정읍 최남단해안로 15번길 12,제주특별자치도 서귀포시 대정읍 하모리 767-8,33.21867302,126.2532449,2018-07,290.85,사무실. 상담실. 검진실. 프로그램실. 치매카페. 쉼터,0,4,0,1,제주특별자치도 서귀포시 서부보건소,고행선,064-760-6249,,등록관리. 조기검진. 단기쉼터 및 치매 카페 운영. 치매 인식개선 및 홍보. 치매치료관리 지원 등,064-760-6249,제주특별자치도 서귀포시,2022-06-17,6520000,제주특별자치도 서귀포시
서귀포보건소치매안심센터,치매안심센터,제주특별자치도 서귀포시 중앙로101번길 52,제주특별자치도 서귀포시 서홍동 447-3,33.2534258,126.5553625,2018-07,494.01,사무실. 상담실. 검진실. 프로그램실. 치매카페,0,5,2,2,제주특별자치도 서귀포시 서귀포보건소,오인순,064-760-6031,,등록관리. 조기검진. 단기쉼터 및 치매 카페 운영. 치매 인식개선 및 홍보. 치매치료관리 지원 등,064-760-6555,제주특별자치도 서귀포시,2022-06-17,6520000,제주특별자치도 서귀포시
서귀포시동부보건소치매안심센터,치매안심센터,제주특별자치도 서귀포시 남원읍 태위로 527,제주특별자치도 서귀포시 남원읍 남원리 2359-1,33.27562882,126.7034172,2018-07,364.29,사무실. 상담실. 검진실. 프로그램실. 치매카페,0,3,3,1,제주특별자치도 서귀포시 동부보건소,송순오,064-760-6141,,등록관리. 조기검진. 단기쉼터 및 치매 카페 운영. 치매 인식개선 및 홍보. 치매치료관리 지원 등,064-760-6125,제주특별자치도 서귀포시,2022-06-17,6520000,제주특별자치도 서귀포시
칠곡군치매안심센터,치매안심센터,경상북도 칠곡군 왜관읍 관문로 1길 30,경상북도 칠곡군 왜관읍 매원리 692-5,35.9907079722,128.4186405794,2018-10,382.11,사무실(1)+프로그램실(3)+단기쉼터(2)+가족카페(1),1,9,4,3,칠곡군보건소,권정희,054-973-4000,2018-10-25,"치매검진, 맞춤형 사례관리, 예방 및 인지강화 프로그램, 가족지원 사업, 홍보 및 교육 등",054-974-3321,경상북도 칠곡군청,2022-06-14,5220000,경상북도 칠곡군
달성군치매안심센터,치매안심센터,대구광역시 달성군 현풍읍 현풍중앙로27,대구광역시 달성군 현풍읍 하리 253-2,35.6920062392,128.4462105423,2020-06,874.74,사무실(1)+상담실(2)+센터장실(1)+작업치료실(2)+교육실(1)+쉼터+카페,1,11,4,작업치료사(3),달성군보건소,달성군보건소장,053-668-3841,,"치매선별검사, 치매예방프로그램, 치매인지재활프로그램 등",053-668-3841,대구광역시 달성군보건소,2022-06-08,3480000,대구광역시 달성군
음성군치매안심센터,치매안심센터,충청북도 음성군 음성읍 중앙로 49,충청북도 음성군 음성읍 읍내리 406-4,36.928899,127.688876,2019-01,495,사무실(1)+교육실(2)+화장실(2)+진료실(1)+상담실(1)+검진실(1)+카페(1)+비품실(1)+통신실(1),1,10,1,작업치료사(1)+임상심리사(1)+기타(1)+행정(1),음성군보건소,전병태,043-872-2136,,치매조기검진 및 치매관련 프로그램 운영 등,043-871-3114,충청북도 음성군청,2022-06-09,4470000,충청북도 음성군
태안군치매안심센터,치매안심센터,충청남도 태안군 태안읍 서해로 1952-16,충청남도 태안군 태안읍 평천리 698-6,36.7518786,126.3231987,2018-06,330,"프로그램실, 가족카페, 사무실, 검진실,대기실",1,4,2,1,태안군,허종일,041-671-5228,2018-06-01,"치매환자 등록관리, 조호물품 지원, 치료관리비 지원,쉼터프로그램 운영, 조기검진, 치매예방 교육 등",041-671-5262,태안군 보건의료원,2022-06-13,4620000,충청남도 태안군
의성군치매안심센터,치매안심센터,경상북도 의성군 의성읍 구봉길 228,경상북도 의성군 의성읍 도서리 104-1,36.345603,128.6976945529,2020-04,228.99,사무실(1)+진단실(1)+상담실(2)+프로그램실(1)+교육실(1)+치매카페(1),3,12,3,운전직(1)+작업치료사(2),경상북도 의성군보건소,신복련,054-830-6699,,"무료치매검사, 치매극복의날기념행사, 인식개선홍보,가족지지프로그램운영,1:1맞춤형사례관리치매 홍보서포터즈 운영,치매보듬마을운영,우리마을예쁜치매쉼터운영 등",054-830-0660,경상북도 의성군청,2020-12-10,5150000,경상북도 의성군
고창군 치매안심센터,치매안심센터,전라북도 고창군 고창읍 전봉준로 90,전라북도 고창군 고창읍 율계리 101,35.4437625509,126.6832504419,2018-10,353,상담실+검진실+쉼터+프로그램실+가족카페+사무실 등,1,8,2,5,고창군보건소,최현숙,063-560-8725,,"치매환자 등록관리, 인지증진 및 재활프로그램, 맞춤형사례관리, 가족지원프로그램 등",063-560-8728,고창군청,2020-11-30,4780000,전라북도 고창군
보은군치매안심센터,치매안심센터,충청북도 보은군 보은읍 임업길 22,충청북도 보은군 보은읍 삼산리 172-2,36.48703402,127.7155518,2019-06,764.66,"사무실, 프로그램실, 교육실, 쉼터",0,3,0,3,보은군치매안심센터,이영순,043-540-5642,,인지재활프로그램,043-540-5642,보은군보건소,2021-05-06,4420000,충청북도 보은군
동구치매안심센터,치매안심센터,"광주광역시 동구 서남로 14, 7층",광주광역시 동구 서석동 29,35.14495168,126.9231621,2021-11,610,사무실(1)+진료실(2)+상담실(1)+사랑방(1)+프로그램실(1)+대회의실(1)+가족카페(1),0,11,0,4,동구보건소,남현,062-608-3490,,"치매조기검진, 치매파트너 양성, 치매치료비지원, 인지재활교육, 치매예방교육",062-608-3472,광주광역시 동구,2021-09-29,3590000,광주광역시 동구
대전광역시 대덕구 치매안심센터,치매안심센터,"대전광역시 대덕구 동춘당로 187, 3층","대전광역시 대덕구 법동 192-1, 3층",36.367296,127.430828,2018-07,487.3,"로비, 사무실, 교육·상담실, 검진실, 프로그램실(2), 가족카페",1,10,1,3,대전광역시 대덕구보건소,김주연,042-608-5499,,"치매환자 등록 관리, 가족교육, 예방교육, 치매검사, 인지훈련 등",042-608-6114,대전광역시 대덕구,2021-06-29,3680000,대전광역시 대덕구
횡성군보건소,치매안심센터,강원도 횡성군 횡성읍 횡성로 379,,37.4871296,127.9844504,2019-12,,"사무실,검진실",1,8,1,3,횡성군보건소,태현숙,033-340-5653,,인지재활프로그램,033-340-5653,횡성군보건소,2021-06-27,4260000,강원도 횡성군
구미치매안심센터,치매안심센터,경상북도 구미시 지산11길 8-1,경상북도 구미시 지산동 853-141,36.139463,128.3455203,2021-06,354.71,사무실(1)+진료실(1)+검사실(1)+상담실(1)+프로그램실(2)+가족카페(1)+교육실(1)+소회의실(1)+쉼터(1),1,11,1,5,구미치매안심센터,구건회,054-480-4884,,"치매환자 등록 및 상담, 맞춤형 사례관리, 치매조기검진, 치매환자쉼터 및 예방교실, 치매가족지원사업, 치매인식개선사업 등",054-880-3797,경상북도청,2021-06-28,5080000,경상북도 구미시
청양군치매안심센터,치매안심센터,충청남도 청양군 청양읍 칠갑산로 7길 54,충청남도 청양군 청양읍 읍내리 261-1,36.45501978,126.8049308,2019-11,381.86,"검진실, 사무실, 프로그램실",1,7,2,2,청양군보건의료원,김상경,041-940-4500,,"치매환자쉼터, 인지재활프로그램, 치매가족교실, 치매자조모임, 치매예방교실",041-940-4551,청양군보건의료원,2021-09-27,4590000,충청남도 청양군
함양군 치매안심센터,치매안심센터,경상남도 함양군 함양읍 한들로 141,경상남도 함양군 함양읍 용평리 630-3,35.5196762995,127.731782,2018-09,398,"사무실, 상담실, 검진실, 쉼터, 가족카페, 프로그램실",1,5,2,2,함양군보건소,박미혜,055-960-8070,,"치매조기검진, 치매환자상담 및 등록관리, 조호물품제공, 집중사례관리, 인지재활프로그램운영, 치매가족모임운영, 치매인식개선사업, 치매환자실종예방사업 등",055-960-8070,함양군보건소,2021-09-17,5460000,경상남도 함양군
동대문구 치매안심센터,치매안심센터,서울특별시 동대문구 홍릉로 81,서울특별시 동대문구 청량리동 203-1,37.58751921,127.0427044,2008-04,567.58,프로그램실+상담실+진료실+기억키움학교,1,10,3,6,경희의료원,김종우,02-957-3062,2021-01-01,"치매조기검진, 치매환자 등록관리, 치매환자 인지재활프로그램, 가족치유 프로그램, 기억키움학교 운영 등",02-2127-5194,서울특별시 동대문구보건소,2022-04-14,3050000,서울특별시 동대문구
대구광역시중구치매안심센터,치매안심센터,대구광역시 중구 태평로 45,대구광역시 중구 태평로3가 174-1,35.8779060610,128.5833354604,2018-11,,사무실+검진실+프로그램실+치매가족카페,1,7,3,5,대구광역시중구보건소,황석선,053-661-3911,,"선별검사, 진단검사, 상담, 치매예방교육, 기억쉼터 운영 및 인지재활프로그램, 가족교실 운영, 맞춤형사례관리 등",053-661-3920,대구중구청(대구광역시중구보건소),2022-06-10,3410000,대구광역시 중구
사천시치매안심센터,치매안심센터,경상남도 사천시 중앙로 212(벌리동),경상남도 사천시 벌리동 104-1,34.94435219,128.0811474,2019-05,746.15,,0,9,0,치과위생사(1)+물리치료사(1)+운전기사(1),사천시보건소,정희숙,055-831-5861,,"치매조기검진 및 등록사업, 사례관리, 치매치료관리비 지원, 조호물품제공, 치매환자 쉼터 및 가족카페 운영, 치매인식개선 및 교육홍보, 치매어르신 실종예방 사업 등",055-831-5860,사천시보건소,2022-05-26,5340000,경상남도 사천시
창원보건소 치매안심센터,치매안심센터,경상남도 창원시 성산구 마디미로73번길 10,경상남도 창원시 성산구 상남동 37-3,35.21832577,128.6823024,2022-12,1048,,1,7,2,5,창원보건소 건강관리과,정혜정,055-225-5794,,"치매인지재활, 치매가족모임",055-225-5748,경상남도 창원시청,2022-06-09,5670000,경상남도 창원시
마산보건소 치매안심센터,치매안심센터,경상남도 창원시 마산합포구 월영동북로15,경상남도 창원시 마산합포구 해운동 61-1,35.18239943,128.562816,2022-07,616,,1,10,2,5,마산보건소 건강관리과,조현국,055-225-5993,,"치매인지재활, 치매가족모임",055-225-5993,경상남도 창원시청,2022-06-09,5670000,경상남도 창원시
진해보건소 치매안심센터,치매안심센터,경상남도 창원시 진해구 중원동로 62,경상남도 창원시 진해구 중앙동 11-1,35.149898,128.661939,2022-05,645,,1,6,3,4,진해보건소 서부보건지소,오막엽,055-225-6692,,"치매인지재활, 치매가족모임",055-225-6692,경상남도 창원시청,2022-06-09,5670000,경상남도 창원시
김천시치매안심센터,치매안심센터,경상북도 김천시 체육공원길 21,경상북도 김천시 지좌동 440-128,36.11973266,128.1445272,2019-02,,,1,10,5,임상병리사(1)+작업치료사(6)+환경정비사(1),김천시치매안심센터,장재근,054-421-2960,,치매조기검진사업 및 치매치료관리비지원사업 등,054-421-2700,경상북도 김천시 보건소,2022-05-31,5060000,경상북도 김천시
양주시 치매안심센터,치매안심센터,경기도 양주시 화합로1426번길 90,경기도 양주시 덕정동 206,37.83814235,127.0680351,2022-05,605,쉼터+가족카페+원예치료실등,2,10,1,1,양주시보건소,이재환,031-8082-7147,2019-05-15,"치매조기검진, 치매예방프로그램, 치매환자 쉼터, 치매가족지원사업, 치매약제비 지원, 조호용품등 지원",031-8082-7100,경기도 양주시청 건강증진과 건강증진과,2022-05-31,5590000,경기도 양주시
강화군치매안심센터,치매안심센터,인천광역시 강화군 강화읍 충렬사로 26-1,인천광역시 강화군 남산리 324-1,37.7372303913,126.4847095405,2019-10,485.9,사무실(2)+프로그램실(2)+검사실(1)+가족카페(1)+대기실(1),1,2,5,11,강화군보건소,이강미,032-930-4057,,치매 무료 상담 및 무료치매검사 등,032-930-4001,인천광역시 강화군청,2020-09-18,3570000,인천광역시 강화군
용인시처인구치매안심센터,치매안심센터,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 556,37.142626,127.103303,2007-08,281,사무실(1)+가족카페(1)+치료실(1)+검진실(1)+쉼터(1)+채움(1)+공감(1),1,7,2,작업치료사(2)+기타직군(3),경기도 용인시 처인구보건소,조순구,031-324-2700,,"무료치매검사, 치매예방프로그램 운영, 치매환자 및 가족프로그램 운영, 치매인식개선 사업 등",031-324-4473,처인구보건소,2019-04-10,4050000,경기도 용인시
용인시기흥구치매안심센터,치매안심센터,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.272532,127.1070208,2018-09,321.5,사무실(1)+프로그램실(4)+상담실(1)+검진실(1),1,14,3,작업치료사 (5),경기도 용인시 기흥구보건소,양정원,031-324-6981,,"치매예방교실, 치매가족카페, 치매진단검사, 치매가족교실",031-324-6981,기흥구보건소,2019-04-10,4050000,경기도 용인시
용인시수지구치매안심센터,치매안심센터,"경기도 용인시 수지구 문정로20, 3층",,37.32263908,127.0962383,2018-11,588.46,사무실 (2)+교육실(3)+카페(1)+상담실(2)+진료실(2)+창고(2)+쉼터(1),1,13,4,작업치료사 (4) + 물리치료사(1) + 기타(1),용인시수지구보건소,이성순,031-324-8516,,"상담 및 등록관리사업, 치매조기검진 및 예방관리사업, 치매환자쉼터 운영사업, 치매가족 지원사업, 치매인식개선 및 교육 홍보사업, 치매안심마을 운영",031-324-8516,수지구보건소,2019-04-10,4050000,경기도 용인시
홍천군치매안심센터,치매안심센터,강원도 홍천군 홍천읍 신장대로5,강원도 홍천군 홍천읍 희망리,37.690212,127.876923,2017-12,,"사무실, 교육실,상담실",0,5,2,5,홍천군보건소,박보현,033-430-4033,,"치매조기검진, 등록,원격진료, 쉼터,가족모임,예방프로그램운영 등",033-430-4055,홍천군보건소,2019-04-23,4250000,강원도 홍천군
